"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","industry","Summary Quote",
"LO","Lorillard, Inc","62.04","22335669028.2","n/a","n/a","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/lo",
"LABC","Louisiana Bancorp, Inc.","22.94","64152467.02","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/labc",
"LPX","Louisiana-Pacific Corporation","16.68","2372088186.96","n/a","n/a","Basic Industries","Forest Products","http://www.nasdaq.com/symbol/lpx",
"LOW","Lowe's Companies, Inc.","66.9","65087589889.2","n/a","n/a","Consumer Services","RETAIL: Building Materials","http://www.nasdaq.com/symbol/low",
"LOXO","Loxo Oncology, Inc.","13.67","227387641.21","n/a","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/loxo",
"LAEC","Loyalty Alliance Enterprise Corporation","n/a","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/laec",
"LPTN","Lpath, Inc.","3.15","60724440","n/a","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/lptn",
"LPLA","LPL Financial Holdings Inc.","43.98","4345616345.58","n/a","2010","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/lpla",
"LRAD","LRAD Corporation","2.49","82758857.61","n/a","n/a","Consumer Non-Durables","Consumer Electronics/Appliances","http://www.nasdaq.com/symbol/lrad",
"LRE","LRR Energy, L.P.","7.49","208185643.54","n/a","2011","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/lre",
"LXU","Lsb Industries Inc.","31.25","706619250","n/a","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/lxu",
"LYTS","LSI Industries Inc.","6.4","154358240","n/a","1985","Consumer Durables","Building Products","http://www.nasdaq.com/symbol/lyts",
"LTC","LTC Properties, Inc.","41.73","1454063113.23","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/ltc",
"LUB","Luby's, Inc.","4.58","132776769.38","n/a","n/a","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/lub",
"LEI","Lucas Energy, Inc.","0.12","4195039.56","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/lei",
"LULU","lululemon athletica inc.","53.5","7071082160","n/a","2007","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/lulu",
"LL","Lumber Liquidators Holdings, Inc","63.86","1728100389.04","n/a","2007","Consumer Services","RETAIL: Building Materials","http://www.nasdaq.com/symbol/ll",
"LMNS","Lumenis Ltd.","9.56","336908854.72","n/a","2014","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/lmns",
"LMNX","Luminex Corporation","18.46","790700705.86","n/a","2000","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/lmnx",
"LMOS","Lumos Networks Corp.","17.14","385176079","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/lmos",
"LUNA","Luna Innovations Incorporated","1.38","20768583.24","n/a","2006","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/luna",
"LXFR","Luxfer Holdings PLC","14.62","393278000","n/a","2012","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/lxfr",
"LXFT","Luxoft Holding, Inc.","38.66","1270032997.7","n/a","2013","Technology","EDP Services","http://www.nasdaq.com/symbol/lxft",
